"GC EI Compounds ID"	"New CD Table ID"	"New CD Table WorkflowID"
179	179	239
180	180	239
181	181	239
182	182	239
183	183	239
184	184	239
185	185	239
186	186	239
187	187	239
188	188	239
189	189	239
190	190	239
191	191	239
192	192	239
193	193	239
194	194	239
195	195	239
196	196	239
197	197	239
198	198	239
199	199	239
200	200	239
201	201	239
202	202	239
203	203	239
204	204	239
205	205	239
206	206	239
207	207	239
208	208	239
209	209	239
210	210	239
211	211	239
212	212	239
213	213	239
214	214	239
215	215	239
216	216	239
217	217	239
218	218	239
219	219	239
220	220	239
221	221	239
222	222	239
223	223	239
224	224	239
225	225	239
226	226	239
227	227	239
228	228	239
229	229	239
230	230	239
231	231	239
232	232	239
233	233	239
234	234	239
235	235	239
236	236	239
237	237	239
238	238	239
239	239	239
240	240	239
241	241	239
242	242	239
243	243	239
244	244	239
245	245	239
246	246	239
247	247	239
248	248	239
249	249	239
250	250	239
251	251	239
252	252	239
253	253	239
254	254	239
255	255	239
256	256	239
257	257	239
258	258	239
259	259	239
260	260	239
261	261	239
262	262	239
263	263	239
264	264	239
265	265	239
266	266	239
267	267	239
268	268	239
269	269	239
270	270	239
271	271	239
272	272	239
273	273	239
274	274	239
275	275	239
276	276	239
277	277	239
278	278	239
279	279	239
280	280	239
281	281	239
282	282	239
283	283	239
284	284	239
285	285	239
286	286	239
287	287	239
288	288	239
289	289	239
290	290	239
291	291	239
292	292	239
293	293	239
294	294	239
295	295	239
296	296	239
297	297	239
298	298	239
299	299	239
300	300	239
301	301	239
302	302	239
303	303	239
304	304	239
305	305	239
306	306	239
307	307	239
308	308	239
309	309	239
310	310	239
311	311	239
312	312	239
313	313	239
314	314	239
315	315	239
316	316	239
317	317	239
318	318	239
319	319	239
320	320	239
321	321	239
322	322	239
323	323	239
324	324	239
325	325	239
326	326	239
327	327	239
328	328	239
329	329	239
330	330	239
331	331	239
332	332	239
333	333	239
334	334	239
335	335	239
336	336	239
337	337	239
338	338	239
339	339	239
340	340	239
341	341	239
342	342	239
343	343	239
344	344	239
345	345	239
346	346	239
347	347	239
348	348	239
349	349	239
350	350	239
351	351	239
352	352	239
353	353	239
354	354	239
355	355	239
356	356	239
357	357	239
358	358	239
359	359	239
360	360	239
361	361	239
362	362	239
363	363	239
364	364	239
365	365	239
366	366	239
367	367	239
368	368	239
369	369	239
370	370	239
371	371	239
372	372	239
373	373	239
374	374	239
375	375	239
376	376	239
377	377	239
378	378	239
379	379	239
380	380	239
381	381	239
382	382	239
383	383	239
384	384	239
385	385	239
386	386	239
387	387	239
388	388	239
389	389	239
390	390	239
391	391	239
392	392	239
393	393	239
394	394	239
395	395	239
396	396	239
397	397	239
398	398	239
399	399	239
400	400	239
401	401	239
402	402	239
403	403	239
404	404	239
405	405	239
406	406	239
407	407	239
408	408	239
409	409	239
410	410	239
411	411	239
412	412	239
413	413	239
414	414	239
415	415	239
416	416	239
417	417	239
418	418	239
419	419	239
420	420	239
421	421	239
422	422	239
423	423	239
424	424	239
425	425	239
